ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ pm2 logs critsend-worker --lines 500 --nostream | awk '/2026-05-04 07:35/,/2026-05-04 07:36:30/'
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.787Z [INFO] NotifyQueue using 1 dedicated connection (budget-controlled)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.788Z [INFO] [JOB_POLL] Starting job processor with worker ID: worker-107898-1777872994414, max concurrent campaigns: 12
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.875Z [INFO] [JOB_POLL] Startup: cleaned up 4 orphaned processing jobs
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.876Z [INFO] Starting import job processor with worker ID: worker-107898-1777872994414
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.877Z [INFO] Starting flush job processor with worker ID: worker-107898-1777872994414
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.877Z [INFO] MTA recovery checker started (30s interval)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.877Z [INFO] Stuck campaign recovery checker started (60s interval)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.878Z [INFO] Starting tag queue worker...
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.878Z [INFO] [MAINTENANCE] Starting maintenance worker (6h interval)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.878Z [INFO] [SCHEDULE_POLL] Starting scheduled campaign poller (30s interval)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.878Z [INFO] [FOLLOWUP_POLL] Starting follow-up spawner (60000ms interval)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.879Z [INFO] [WORKER_HEARTBEAT] Started (every 10s, TTL 30s)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.885Z [INFO] [BullMQ] Workers started: campaigns, imports, flushes
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.885Z [INFO] [WORKER] Deferring analytics rollup/backfill by 30000ms to avoid startup storm
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.885Z [INFO] [WORKER] All workers running
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.941Z [INFO] [IMPORT] Cleaned up orphaned import_staging data on startup (excluding active jobs)
1|critsend | 2026-05-04 07:36:35 +02:00: 2026-05-04T05:36:35.137Z [INFO] [TRIGRAM] email_trgm_idx already exists — skipping
1|critsend | 2026-05-04 07:36:35 +02:00: 2026-05-04T05:36:35.137Z [INFO] [IMPORT] Email trigram index verified
1|critsend | 2026-05-04 07:36:35 +02:00: 2026-05-04T05:36:35.153Z [INFO] NotifyQueue initialized, listening on channels {"channels":["campaign_jobs","import_jobs","tag_operations","flush_jobs"]}
1|critsend | 2026-05-04 07:36:35 +02:00: 2026-05-04T05:36:35.155Z [INFO] [IMPORT] GIN indexes integrity check passed
1|critsend | 2026-05-04 07:36:35 +02:00: 2026-05-04T05:36:35.596Z [INFO] [MAINTENANCE] Default maintenance rules seeded
1|critsend | 2026-05-04 07:37:05 +02:00: 2026-05-04T05:37:05.271Z [INFO] [ANALYTICS_ROLLUP] Last rollup date: 2026-05-03 — gap-filling 2 days
1|critsend | 2026-05-04 07:37:24 +02:00: 2026-05-04T05:37:24.646Z [INFO] Processed 10 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:37:30 +02:00: 2026-05-04T05:37:30.518Z [INFO] Processed 32 tag operations in 17 bulk groups
1|critsend | 2026-05-04 07:37:32 +02:00: 2026-05-04T05:37:32.372Z [INFO] Processed 26 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:37:34 +02:00: 2026-05-04T05:37:34.444Z [INFO] Processed 34 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:37:35 +02:00: 2026-05-04T05:37:35.798Z [INFO] Processed 11 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:37:37 +02:00: 2026-05-04T05:37:37.833Z [INFO] Processed 17 tag operations in 12 bulk groups
1|critsend | 2026-05-04 07:37:39 +02:00: 2026-05-04T05:37:39.290Z [INFO] Processed 6 tag operations in 5 bulk groups
1|critsend | 2026-05-04 07:37:41 +02:00: 2026-05-04T05:37:41.313Z [INFO] Processed 7 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:37:44 +02:00: 2026-05-04T05:37:44.374Z [INFO] Processed 31 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:37:45 +02:00: 2026-05-04T05:37:45.408Z [INFO] Processed 10 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:37:47 +02:00: 2026-05-04T05:37:47.473Z [INFO] Processed 10 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:37:49 +02:00: 2026-05-04T05:37:49.891Z [INFO] Processed 17 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:37:51 +02:00: 2026-05-04T05:37:51.430Z [INFO] Processed 9 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:37:54 +02:00: 2026-05-04T05:37:54.021Z [INFO] Processed 19 tag operations in 15 bulk groups
1|critsend | 2026-05-04 07:37:56 +02:00: 2026-05-04T05:37:56.183Z [INFO] Processed 24 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:37:57 +02:00: 2026-05-04T05:37:57.585Z [INFO] Processed 12 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:37:59 +02:00: 2026-05-04T05:37:59.480Z [INFO] Processed 10 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:38:01 +02:00: 2026-05-04T05:38:01.754Z [INFO] Processed 14 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:38:03 +02:00: 2026-05-04T05:38:03.460Z [INFO] Processed 9 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:38:05 +02:00: 2026-05-04T05:38:05.682Z [INFO] Processed 9 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:07 +02:00: 2026-05-04T05:38:07.702Z [INFO] Processed 13 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:38:09 +02:00: 2026-05-04T05:38:09.250Z [INFO] Processed 6 tag operations in 4 bulk groups
1|critsend | 2026-05-04 07:38:11 +02:00: 2026-05-04T05:38:11.399Z [INFO] Processed 8 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:38:13 +02:00: 2026-05-04T05:38:13.918Z [INFO] Processed 21 tag operations in 11 bulk groups
1|critsend | 2026-05-04 07:38:15 +02:00: 2026-05-04T05:38:15.500Z [INFO] Processed 10 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:17 +02:00: 2026-05-04T05:38:17.454Z [INFO] Processed 8 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:38:20 +02:00: 2026-05-04T05:38:20.327Z [INFO] Processed 28 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:38:21 +02:00: 2026-05-04T05:38:21.704Z [INFO] Processed 13 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:38:23 +02:00: 2026-05-04T05:38:23.779Z [INFO] Processed 16 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:38:26 +02:00: 2026-05-04T05:38:26.091Z [INFO] Processed 21 tag operations in 14 bulk groups
1|critsend | 2026-05-04 07:38:27 +02:00: 2026-05-04T05:38:27.824Z [INFO] Processed 16 tag operations in 12 bulk groups
1|critsend | 2026-05-04 07:38:29 +02:00: 2026-05-04T05:38:29.729Z [INFO] Processed 15 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:38:32 +02:00: 2026-05-04T05:38:32.357Z [INFO] Processed 28 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:38:33 +02:00: 2026-05-04T05:38:33.462Z [INFO] Processed 9 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:34 +02:00: 2026-05-04T05:38:34.937Z [INFO] [RECOVERY] Found 4 interrupted campaign(s) to resume
1|critsend | 2026-05-04 07:38:34 +02:00: 2026-05-04T05:38:34.937Z [INFO] [RECOVERY] Re-enqueuing campaign 9371b026-0d02-408e-87f7-5862be83bcba (#2885 marc orian - 6dhUGF - Kamma)
1|critsend | 2026-05-04 07:38:35 +02:00: 2026-05-04T05:38:35.011Z [INFO] [RECOVERY] Re-enqueuing campaign 16d871ea-6ec4-468f-a916-f853e0e68204 (#2922 Francoise Saget - 2agOFU - Mahlesoldes)
1|critsend | 2026-05-04 07:38:35 +02:00: 2026-05-04T05:38:35.072Z [INFO] [RECOVERY] Re-enqueuing campaign 5f44b29e-f663-451d-bf68-43ae5d8083ca (#2883 Scanditour - LIST TRAVEL - Server2)
1|critsend | 2026-05-04 07:38:35 +02:00: 2026-05-04T05:38:35.147Z [INFO] [RECOVERY] Re-enqueuing campaign 3c278160-be19-4c71-bfdb-03c6b1c50525 (#2916 Epeda - LIST DECO - Verysent)
1|critsend | 2026-05-04 07:38:36 +02:00: 2026-05-04T05:38:36.018Z [INFO] Processed 17 tag operations in 9 bulk groups
1|critsend | 2026-05-04 07:38:37 +02:00: 2026-05-04T05:38:37.964Z [INFO] Processed 20 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:38:39 +02:00: 2026-05-04T05:38:39.467Z [INFO] Processed 10 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:41 +02:00: 2026-05-04T05:38:41.500Z [INFO] Processed 10 tag operations in 7 bulk groups
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.207Z [INFO] Processed 27 tag operations in 15 bulk groups
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.847Z [INFO] [JOB_POLL] Worker worker-107898-1777872994414 started job 3355d3a0-bfca-4487-870c-55f6f8cdb2aa for campaign 9371b026-0d02-408e-87f7-5862be83bcba (1/12 active)
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.849Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] processCampaignInternal started
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.883Z [INFO] [JOB_POLL] Worker worker-107898-1777872994414 started job f47b3e33-d336-41c2-9350-8e060918c982 for campaign 16d871ea-6ec4-468f-a916-f853e0e68204 (2/12 active)
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.883Z [INFO] [CAMPAIGN 16d871ea-6ec4-468f-a916-f853e0e68204 job:f47b3e33] processCampaignInternal started
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.913Z [INFO] [JOB_POLL] Worker worker-107898-1777872994414 started job 8a6563d4-85ea-4c62-b793-a541672c400f for campaign 5f44b29e-f663-451d-bf68-43ae5d8083ca (3/12 active)
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.914Z [INFO] [CAMPAIGN 5f44b29e-f663-451d-bf68-43ae5d8083ca job:8a6563d4] processCampaignInternal started
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.944Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] Verifying SMTP connection to MTA 'Kammaspeed.com'...
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.948Z [INFO] [JOB_POLL] Worker worker-107898-1777872994414 started job db17ca98-545e-4674-86d9-41074420278c for campaign 3c278160-be19-4c71-bfdb-03c6b1c50525 (4/12 active)
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.948Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] processCampaignInternal started
1|critsend | 2026-05-04 07:38:44 +02:00: 2026-05-04T05:38:44.996Z [INFO] [CAMPAIGN 16d871ea-6ec4-468f-a916-f853e0e68204 job:f47b3e33] Verifying SMTP connection to MTA 'Mahlesoldes.com'...
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.032Z [INFO] [CAMPAIGN 5f44b29e-f663-451d-bf68-43ae5d8083ca job:8a6563d4] Verifying SMTP connection to MTA 'Server2.mayasoldes.com'...
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.058Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] Verifying SMTP connection to MTA 'Verysent'...
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.075Z [INFO] [CAMPAIGN 16d871ea-6ec4-468f-a916-f853e0e68204 job:f47b3e33] SMTP verification OK
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.108Z [INFO] [CAMPAIGN 5f44b29e-f663-451d-bf68-43ae5d8083ca job:8a6563d4] SMTP verification OK
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.118Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] SMTP verification OK
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.135Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] SMTP verification OK
1|critsend | 2026-05-04 07:38:45 +02:00: 2026-05-04T05:38:45.580Z [INFO] Processed 12 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:47 +02:00: 2026-05-04T05:38:47.927Z [INFO] Processed 16 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:38:50 +02:00: 2026-05-04T05:38:50.082Z [INFO] Processed 20 tag operations in 13 bulk groups
1|critsend | 2026-05-04 07:38:51 +02:00: 2026-05-04T05:38:51.370Z [INFO] Processed 7 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:38:53 +02:00: 2026-05-04T05:38:53.654Z [INFO] Processed 13 tag operations in 8 bulk groups
1|critsend | 2026-05-04 07:38:53 +02:00: 2026-05-04T05:38:53.696Z [INFO] Recovered orphaned pending sends {"recoveredCount":3000,"campaignId":"9371b026-0d02-408e-87f7-5862be83bcba"}
1|critsend | 2026-05-04 07:38:53 +02:00: 2026-05-04T05:38:53.696Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] Recovered 3000 orphaned pending sends
1|critsend | 2026-05-04 07:38:56 +02:00: 2026-05-04T05:38:56.053Z [INFO] Processed 20 tag operations in 12 bulk groups
1|critsend | 2026-05-04 07:38:56 +02:00: 2026-05-04T05:38:56.989Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] Segment '385b3e15-ce2a-4c6d-ac2e-33f306986328' has 144844 subscribers
1|critsend | 2026-05-04 07:38:57 +02:00: 2026-05-04T05:38:57.047Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] Starting V3 engine - Speed: slow, Rate: 500/min, Concurrency: 5, Mode: smtp, BatchSize: 10000, FlushAt: 500
1|critsend | 2026-05-04 07:38:57 +02:00: 2026-05-04T05:38:57.149Z [INFO] [CAMPAIGN 9371b026-0d02-408e-87f7-5862be83bcba job:3355d3a0] Pre-registered 13 click tracking link(s)
1|critsend | 2026-05-04 07:38:57 +02:00: 2026-05-04T05:38:57.468Z [INFO] Processed 9 tag operations in 6 bulk groups
1|critsend | 2026-05-04 07:38:58 +02:00: 2026-05-04T05:38:58.290Z [INFO] Recovered orphaned pending sends {"recoveredCount":6945,"campaignId":"3c278160-be19-4c71-bfdb-03c6b1c50525"}
1|critsend | 2026-05-04 07:38:58 +02:00: 2026-05-04T05:38:58.290Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] Recovered 6945 orphaned pending sends
1|critsend | 2026-05-04 07:38:59 +02:00: 2026-05-04T05:38:59.083Z [INFO] Recovered orphaned pending sends {"recoveredCount":7835,"campaignId":"16d871ea-6ec4-468f-a916-f853e0e68204"}
1|critsend | 2026-05-04 07:38:59 +02:00: 2026-05-04T05:38:59.083Z [INFO] [CAMPAIGN 16d871ea-6ec4-468f-a916-f853e0e68204 job:f47b3e33] Recovered 7835 orphaned pending sends
1|critsend | 2026-05-04 07:38:59 +02:00: 2026-05-04T05:38:59.626Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] Segment '25961d7b-8248-4ffa-8a86-4e5bcdd7268c' has 222346 subscribers
1|critsend | 2026-05-04 07:38:59 +02:00: 2026-05-04T05:38:59.711Z [INFO] [CAMPAIGN 3c278160-be19-4c71-bfdb-03c6b1c50525 job:db17ca98] Starting V3 engine - Speed: slow, Rate: 500/min, Concurrency: 5, Mode: smtp, BatchSize: 10000, FlushAt: 500
1|critsend | 2026-05-04 07:38:59 +02:00: 2026-05-04T05:38:59.712Z [INFO] Processed 13 tag operations in 9 bulk groups
