ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ # 1. Tout ce qui touche au bootstrap depuis le dernier reload (13:07)
pm2 logs --nostream --lines 2000 | grep -E "PRESSURE_GUARD\]|LOCK_RECOVERY|leader_acquired" | tail -50

# 2. Toutes les erreurs récentes des deux process
pm2 logs --nostream --lines 500 --err | tail -80

# 3. Confirmer l'état actuel des ticks (toujours bootstrap=deferred ?)
pm2 logs --nostream --lines 100 | grep "PRESSURE_GUARD_WORKER\] tick" | tail -5
0|critsend | 2026-05-14 14:47:10 +02:00: 2026-05-14T12:47:10.376Z [ERROR] [TRACKING] Bootstrap migration FAILED (campaign_stats covering index): canceling statement due to statement timeout
0|critsend | 2026-05-14 14:47:12 +02:00: 2026-05-14T12:47:12.003Z [WARN] [BOOTSTRAP_LOCK] Index campaign_sends_active_subscriber_idx exists but is INVALID — will be dropped and rebuilt
0|critsend | 2026-05-14 14:47:15 +02:00: 2026-05-14T12:47:15.945Z [WARN] [503] source=load_shed method=GET path=/api/jobs/stream route=/api/jobs rid=07ee3ebd-54e7-4afd-8c28-248f5434bf0b kind=saturation code=- pool active=30/30 idle=0 total=30 waiting=17 sat=1.00 lease=0
0|critsend | 2026-05-14 14:47:23 +02:00: 2026-05-14T12:47:23.851Z [WARN] [PRESSURE_GUARD] CONCURRENTLY campaign_sends_active_subscriber_idx build failed (non-fatal): canceling statement due to statement timeout
0|critsend | 2026-05-14 14:48:22 +02:00: 2026-05-14T12:48:22.654Z [WARN] Invalid tracking signature for open: campaign=ddb7f423-5c2c-4951-8aa8-335c1d656863, subscriber=7ee8eaa2-f870-4e54=-b073-8f6c54bf6058
0|critsend | 2026-05-14 14:48:49 +02:00: 2026-05-14T12:48:49.977Z [WARN] [tracking_tokens] CONCURRENTLY unique_idx build failed, will retry on next start: canceling statement due to statement timeout
0|critsend | 2026-05-14 14:49:59 +02:00: 2026-05-14T12:49:59.685Z [WARN] Invalid tracking signature for open: campaign=135c0667-b312-4c96-a63d-19452361b7a5, subscriber=d775af34-2a16-4ee0=-8728-40d67e1566b6
0|critsend | 2026-05-14 14:52:50 +02:00: 2026-05-14T12:52:50.089Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 14:53:50 +02:00: 2026-05-14T12:53:50.089Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 14:55:05 +02:00: 2026-05-14T12:55:05.440Z [WARN] Invalid tracking signature for open: campaign=ddb7f423-5c2c-4951-8aa8-335c1d656863, subscriber=d901d6a2-1770-4b1e=-9f5d-b1a2a3457fac
0|critsend | 2026-05-14 14:55:50 +02:00: 2026-05-14T12:55:50.090Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 14:56:38 +02:00: 2026-05-14T12:56:38.257Z [WARN] Invalid tracking signature for unsubscribe: campaign=a6ed32bd-c690-44f5-afc1-c62c59426451, subscriber=49bbc25d-0c78-44f8-a1b8-c23ec708b63f, sig=48bbb387...
0|critsend | 2026-05-14 14:56:44 +02:00: 2026-05-14T12:56:44.226Z [WARN] Invalid tracking signature for unsubscribe: campaign=90832b9b-dd38-48cb-9953-4f21fb2e123e, subscriber=49bbc25d-0c78-44f8-a1b8-c23ec708b63f, sig=1c7ab242...
0|critsend | 2026-05-14 14:56:50 +02:00: 2026-05-14T12:56:50.099Z [WARN] [CAMPAIGN_GUARDIAN] Found 2 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 14:57:50 +02:00: 2026-05-14T12:57:50.115Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 14:58:00 +02:00: 2026-05-14T12:58:00.475Z [WARN] Invalid tracking signature for unsubscribe: campaign=2c5a32f1-5ad3-41e9-a931-2555dfb1f0db, subscriber=de39d46c-3487-485b-914a-73c944819c5e, sig=479a1a5b...
0|critsend | 2026-05-14 14:59:43 +02:00: 2026-05-14T12:59:43.799Z [WARN] Invalid tracking signature for unsubscribe: campaign=e1645451-43a4-4423-bf2b-188a269f15ba, subscriber=favicon.ico, sig=undefined...
0|critsend | 2026-05-14 15:02:10 +02:00: 2026-05-14T13:02:10.007Z [WARN] Short unsubscribe token not found or invalid: 99Z89l4i,
0|critsend | 2026-05-14 15:02:15 +02:00: 2026-05-14T13:02:15.057Z [WARN] Invalid tracking signature for unsubscribe: campaign=90832b9b-dd38-48cb-9953-4f21fb2e123e, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=6dadb5a0...
0|critsend | 2026-05-14 15:02:21 +02:00: 2026-05-14T13:02:21.127Z [WARN] Invalid tracking signature for unsubscribe: campaign=83fe76c7-9fcb-479c-8dbd-6fa92638f836, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=d8215d9e...
0|critsend | 2026-05-14 15:02:26 +02:00: 2026-05-14T13:02:26.366Z [WARN] Invalid tracking signature for unsubscribe: campaign=1db9239e-283c-4838-b6d1-e4e34ce03cb2, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=d67c582d...
0|critsend | 2026-05-14 15:02:52 +02:00: 2026-05-14T13:02:52.455Z [WARN] Invalid tracking signature for unsubscribe: campaign=2c5a32f1-5ad3-41e9-a931-2555dfb1f0db, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=6b4186af...
0|critsend | 2026-05-14 15:02:59 +02:00: 2026-05-14T13:02:59.896Z [WARN] Short unsubscribe token not found or invalid: AbYCdf1m,
